document_id,vehicle_id,document_type,document_name,status,issue_date,expiry_date,uploaded,notes
DOC001,VEH001,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-07-20,2026-07-20,Yes,Sắp hết hạn
DOC002,VEH001,Insurance,Bảo hiểm TNDS,Valid,2025-08-15,2026-08-15,Yes,Sắp hết hạn
DOC003,VEH001,Registration,Đăng ký xe,Valid,2019-01-10,2029-01-10,Yes,
DOC004,VEH003,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-07-30,2026-07-30,No,Chưa upload bản scan
DOC005,VEH003,Insurance,Bảo hiểm TNDS,Valid,2025-07-25,2026-07-25,Yes,Cần nhắc gia hạn
DOC006,VEH006,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-08-10,2026-08-10,Yes,Xe cũ
DOC007,VEH006,Insurance,Bảo hiểm TNDS,Valid,2025-08-01,2026-08-01,No,Thiếu bản upload
DOC008,VEH010,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-08-08,2027-08-08,Yes,EV
DOC009,VEH012,Insurance,Bảo hiểm TNDS,Valid,2025-07-18,2026-07-18,Yes,Sắp hết hạn rất gần
DOC010,VEH013,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-08-05,2026-08-05,Yes,Sắp hết hạn
DOC011,VEH014,Insurance,Bảo hiểm TNDS xe máy,Valid,2025-11-10,2026-11-10,No,Chưa upload
DOC012,VEH018,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-08-15,2026-08-15,Yes,Sắp hết hạn
DOC013,VEH018,Insurance,Bảo hiểm TNDS,Valid,2025-08-20,2026-08-20,Yes,Sắp hết hạn
DOC014,VEH020,Inspection,Giấy chứng nhận đăng kiểm,Valid,2025-07-25,2026-07-25,No,Cần upload và nhắc gấp
DOC015,VEH020,Insurance,Bảo hiểm TNDS,Valid,2025-07-28,2026-07-28,Yes,Cần nhắc gấp
