document_id,title,department,classification
DOC001,Sổ tay nhân viên,COMP,Public
DOC002,Chính sách nghỉ phép,COMP,Internal
DOC003,Chính sách công tác và di chuyển,COMP,Internal
DOC004,Chính sách sử dụng CNTT,COMP,Internal
DOC005,Quy tắc ứng xử,COMP,Public
DOC006,Quy trình tuyển dụng,HR,Confidential
DOC007,Khung lương tham khảo,HR,Confidential
DOC008,Quy trình đánh giá hiệu suất,HR,Confidential
DOC009,Chính sách đào tạo,HR,Internal
DOC010,Hướng dẫn onboarding,HR,Internal
DOC011,Chính sách hoàn ứng chi phí,FIN,Internal
DOC012,Hướng dẫn lập ngân sách,FIN,Confidential
DOC013,Quy trình thanh toán nhà cung cấp,FIN,Internal
DOC014,Ma trận phê duyệt tài chính,FIN,Confidential
DOC015,Chính sách mua sắm,FIN,Internal
DOC016,Chiến lược sản phẩm,PROD,Confidential
DOC017,Lộ trình sản phẩm,PROD,Confidential
DOC018,Quy trình phát hành sản phẩm,PROD,Confidential
DOC019,Khung KPI sản phẩm,PROD,Confidential
DOC020,Mẫu PRD chuẩn,PROD,Internal
DOC021,Tiêu chuẩn kiến trúc hệ thống,ENG,Confidential
DOC022,Coding Standards,ENG,Internal
DOC023,Hướng dẫn triển khai,ENG,Confidential
DOC024,Quy trình xử lý sự cố kỹ thuật,ENG,Internal
DOC025,Quy trình yêu cầu môi trường phát triển,ENG,Internal
DOC026,Quy trình hỗ trợ khách hàng,OPS,Internal
DOC027,Quy định SLA vận hành,OPS,Confidential
DOC028,Quy trình phản hồi sự cố vận hành,OPS,Internal
DOC029,Kế hoạch liên tục kinh doanh,OPS,Confidential
DOC030,Quy trình quản lý chất lượng dịch vụ,OPS,Internal
DOC031,Chính sách bảo vệ dữ liệu cá nhân,LEGAL,Internal
DOC032,Chính sách tuân thủ,LEGAL,Internal
DOC033,Quy trình phê duyệt hợp đồng,LEGAL,Confidential
DOC034,Chính sách phân loại thông tin,LEGAL,Internal
DOC035,Chính sách lưu trữ hồ sơ,LEGAL,Internal
DOC036,Chiến lược công ty 2026,EXEC,Restricted
DOC037,Dự báo tài chính 2026,EXEC,Restricted
DOC038,Ưu tiên kinh doanh năm 2026,EXEC,Restricted
DOC039,Kế hoạch M&A giả lập,EXEC,Restricted
DOC040,Báo cáo chuyển đổi số nội bộ,EXEC,Restricted
