knowledge_id,topic,question,answer,related_documents,recommended_action
K001,Đăng kiểm,Khi nào cần đăng kiểm xe?,"Người dùng cần theo dõi hạn đăng kiểm trên giấy chứng nhận đăng kiểm. Nên đặt nhắc trước 30 ngày, 14 ngày và 3 ngày để chuẩn bị hồ sơ.",Giấy chứng nhận đăng kiểm,Tạo reminder trước hạn
K002,Đăng kiểm,Cần chuẩn bị giấy tờ gì khi đi đăng kiểm?,"Thông thường cần giấy đăng ký xe, giấy chứng nhận đăng kiểm cũ, bảo hiểm TNDS còn hiệu lực và giấy tờ tùy thân/chủ xe khi cần.","Registration, Inspection, Insurance",Hiển thị checklist giấy tờ
K003,Bảo hiểm TNDS,Bảo hiểm Trách nhiệm Dân sự có bắt buộc không?,Bảo hiểm TNDS là loại bảo hiểm bắt buộc với chủ phương tiện cơ giới theo quy định hiện hành.,Insurance,Nhắc gia hạn trước khi hết hạn
K004,Bảo hiểm TNDS,Khi bảo hiểm sắp hết hạn nên làm gì?,"Người dùng nên kiểm tra ngày hết hạn, xem gói gia hạn phù hợp và hoàn tất gia hạn trước hạn để tránh gián đoạn bảo vệ.",Insurance,Đề xuất gia hạn
K005,Đăng ký xe,Đăng ký xe có cần lưu trong ví giấy tờ không?,"Nên lưu bản số hóa của đăng ký xe để dễ tra cứu, nhưng vẫn cần tuân thủ yêu cầu giấy tờ gốc/bản hợp lệ khi tham gia giao thông theo quy định.",Registration,Upload document
K006,Cứu hộ,Khi nào nên kích hoạt Cứu hộ giao thông?,"Người dùng có xe cũ, thường đi xa hoặc chưa có phương án hỗ trợ khẩn cấp nên cân nhắc kích hoạt dịch vụ cứu hộ.",Roadside Assistance,Gợi ý Roadside Assistance
K007,Xe điện,Chủ xe điện cần theo dõi gì?,"Ngoài giấy tờ thông thường, chủ xe điện nên theo dõi lịch bảo dưỡng, tình trạng pin và điểm sạc phù hợp theo lộ trình.","EV, Maintenance",Gợi ý dịch vụ sạc/bảo dưỡng EV
K008,Nhắc nhở,Nên gửi nhắc nhở khi nào?,"Nhắc nhở nên được gửi theo mức độ khẩn cấp: 30 ngày, 14 ngày, 7 ngày và 3 ngày trước hạn; tránh gửi quá nhiều thông báo không cần thiết.",Reminder,Notification schedule
K009,Quản lý giấy tờ,Nếu thiếu bản upload giấy tờ thì AI nên làm gì?,"AI nên thông báo tài liệu còn thiếu, giải thích lợi ích của việc lưu bản số hóa và hướng dẫn người dùng upload.",Document Management,Prompt upload
K010,Dịch vụ VETC,Khi nào nên đề xuất dịch vụ VETC?,"Chỉ đề xuất dịch vụ khi phù hợp với ngữ cảnh người dùng, ví dụ bảo hiểm sắp hết hạn, xe cũ cần cứu hộ, EV cần sạc hoặc người dùng đi xa thường xuyên.",Service Recommendation,Contextual recommendation
K011,Xe máy,Xe máy có khác ô tô trong quản lý giấy tờ không?,Xe máy có thể không có quy trình đăng kiểm giống ô tô nhưng vẫn cần quản lý đăng ký xe và bảo hiểm TNDS nếu áp dụng.,Motorbike documents,Hướng dẫn theo loại xe
K012,Chủ động hỗ trợ,AI Assistant nên chủ động hỗ trợ như thế nào?,"Trợ lý nên phát hiện mốc thời gian quan trọng, đưa checklist, tạo reminder và đề xuất bước tiếp theo thay vì chỉ trả lời câu hỏi.",Proactive AI,Next best action
